"","Estadillo","calidad","calidad_sd","conte_invasora","riquesa_total","riquesa_invasores","provincia"
"119",119,2.45514511873351,0.951932563992648,"No",24,0,48
"120",120,2.41363102232667,0.773382091200349,"No",20,0,50
"121",121,2.42940320232897,0.732747192405449,"No",30,0,50
"122",122,2.41159420289855,0.770564460869637,"No",16,0,50
"123",123,2.36425648021828,0.685269999620148,"No",29,0,49
"124",124,2.37234042553191,0.838471618347903,"No",20,0,48
"125",125,2.4256880733945,0.777959679428859,"No",21,0,49
"126",126,2.42947368421053,0.837400247124442,"No",22,0,49
"127",127,2.51986183074266,0.798486445541562,"No",30,0,50
"128",128,2.42964071856287,0.891146788895636,"No",29,0,50
"129",129,2.48432055749129,0.906981728139408,"No",28,0,50
"130",130,2.24210526315789,0.556968823952475,"No",27,0,50
"131",131,2.31039136302294,0.670427441813141,"No",32,0,50
"132",132,2.42051282051282,0.90928161834103,"No",25,0,50
"133",133,2.40328467153285,0.799764690703378,"No",22,0,50
"134",134,2.45748987854251,0.765745468943975,"No",22,0,49
"135",135,2.41644204851752,0.774352201517319,"No",26,0,49
"136",136,2.3991935483871,0.814108034908182,"No",27,0,50
"137",137,2.44357976653697,0.82464927063014,"No",25,0,49
"138",138,2.3,0.606848549640091,"No",22,0,49
"139",139,2.38821490467938,0.84475491735915,"No",20,0,49
"140",140,2.35526315789474,0.803548575220172,"No",26,0,49
"141",141,2.30948419301165,0.744352000176254,"No",23,0,50
"142",142,2.27179487179487,0.586956519088945,"No",31,0,50
"143",143,2.40127388535032,0.716602249026266,"No",26,0,50
"144",144,2.33206106870229,0.801792177607314,"No",26,0,50
"145",145,2.340625,0.724859006310699,"No",23,0,50
"146",146,2.38647959183673,0.789374425895154,"No",33,0,49
"147",147,2.59757942511346,0.931727075951365,"No",31,0,50
"148",148,2.31468531468531,0.692290280306613,"No",22,0,50
"149",149,2.30150753768844,0.665205023670833,"No",28,0,50
"150",150,2.28301886792453,0.686519543666333,"No",22,0,50
"151",151,2.34789156626506,0.682287263396451,"No",22,0,50
"152",152,2.31615120274914,0.69151257132943,"No",27,0,49
"153",153,2.5203488372093,0.920188510114703,"No",30,0,50
"154",154,2.51493848857645,0.890207903046419,"No",22,0,50
"155",155,2.40117130307467,0.736639614889895,"No",24,0,50
"156",156,2.37540983606557,0.676889373683195,"No",27,0,49
"157",157,2.44769230769231,0.831507382814918,"No",24,0,50
"158",158,2.35302197802198,0.871585183037618,"No",22,0,50
"159",159,2.3160453808752,0.687753673069326,"No",23,0,49
"160",160,2.41940085592011,0.813015681064276,"No",23,0,48
"161",161,2.38704028021016,0.813767605596658,"No",22,0,49
"162",162,2.44489795918367,0.953638070020571,"No",26,0,50
"163",163,2.33440514469453,0.729462478192704,"No",30,0,50
"164",164,2.33607907742998,0.78710719493008,"No",24,0,50
"165",165,2.51669595782074,0.830843992661729,"No",17,0,50
"166",166,2.41509433962264,0.79606818678751,"No",31,0,50
"167",167,2.39024390243902,0.761909537548454,"No",22,0,49
"168",168,2.30068728522337,0.651200037592336,"No",26,0,46
"169",169,2.31977559607293,0.690109871662049,"No",21,0,50
"170",170,2.26621621621622,0.637734706090531,"No",25,0,50
"171",171,2.27614379084967,0.597775060938649,"No",25,0,50
"172",172,2.49115646258503,0.866962907263382,"No",34,0,50
"173",173,2.43500866551127,0.845548828338928,"No",31,0,50
"174",174,2.3821892393321,0.798778129043288,"No",25,0,50
"175",175,2.30094043887147,0.598558493050027,"No",27,0,50
"176",176,2.43428571428571,0.79156600627168,"No",24,0,49
"177",177,2.51785714285714,0.827458495277531,"No",22,0,49
"178",178,2.25124792013311,0.628571878758906,"No",24,0,50
"179",179,2.39772727272727,0.739861611665369,"No",23,0,50
"180",180,2.43832599118943,0.712197618346929,"No",24,0,49
"181",181,2.29124579124579,0.631674449893583,"No",19,0,49
"182",182,2.57618213660245,0.885988472715984,"No",29,0,48
"183",183,2.52459016393443,0.815846288808096,"No",25,0,49
"184",184,2.35813148788927,0.74339003108298,"No",18,0,49
"185",185,2.49608763693271,0.881488676602585,"No",27,0,50
"186",186,2.38927335640138,0.832000257059111,"No",29,0,50
"187",187,2.25173852573018,0.641459129285991,"No",23,0,50
"188",188,2.5302752293578,1.02339406000364,"No",25,0,50
"189",189,2.42725173210162,0.807887089827649,"No",20,0,48
"190",190,2.43207547169811,0.882570910501038,"No",25,0,50
"191",191,2.48119325551232,0.789934488657153,"No",28,0,50
"192",192,2.6884176182708,1.20014144393097,"No",24,0,50
"193",193,2.40557275541796,0.962667432798737,"No",26,0,50
"194",194,2.25046040515654,0.689854502145534,"No",25,0,50
"195",195,2.42620232172471,0.869820697257004,"No",27,0,50
"196",196,2.4300441826215,0.904289269863764,"No",30,0,49
"197",197,2.26282051282051,0.615073117505642,"No",27,0,47
"198",198,2.42283298097252,0.73564425212844,"No",23,0,50
"199",199,2.3884430176565,0.726172175520519,"No",27,0,50
"200",200,2.46869983948636,0.826743161700162,"No",31,0,50
"201",201,2.38545953360768,0.820986634269209,"No",32,0,50
"202",202,2.6412213740458,1.01116626800977,"No",29,0,50
"203",203,2.5446735395189,0.942712320777734,"No",30,0,50
"204",204,2.40502354788069,0.87190956905773,"No",20,0,50
"205",205,2.5,1.07392401449358,"No",25,0,50
"206",206,2.37770382695507,0.713280252637066,"No",27,0,50
"207",207,2.34662045060659,0.677869300074745,"No",24,0,50
"208",208,2.2241054613936,0.592932351759094,"No",20,0,50
"209",209,2.49149922720247,0.948930672212168,"No",28,0,50
"210",210,2.46753246753247,0.988840701985661,"No",27,0,49
"211",211,2.54078549848943,0.885587056708008,"No",25,0,50
"212",212,2.34904270986745,0.716716618031532,"No",22,0,50
"213",213,2.35068493150685,0.777093753477061,"No",28,0,50
"214",214,2.41112828438949,0.866150406604588,"No",25,0,50
"215",215,2.42307692307692,1.01861851135635,"No",24,0,50
"216",216,2.40924657534247,0.861995439702063,"No",29,0,50
"217",217,2.32348111658456,0.757934151285976,"No",25,0,50
"218",218,2.32552693208431,0.790850013036015,"No",31,0,49
"219",219,2.26021180030257,0.641073401872059,"No",22,0,50
"220",220,2.22495894909688,0.596288719328895,"No",29,0,50
"221",221,2.40760869565217,0.894212222223149,"No",35,0,50
"222",222,2.33333333333333,0.774512120131452,"No",20,0,50
"223",223,2.29323308270677,0.686506534860593,"No",26,0,50
"224",224,2.30856219709208,0.741799417618827,"No",28,0,50
"225",225,2.50946643717728,0.914630068987311,"No",18,0,50
"226",226,2.37223340040241,0.847359300488346,"No",31,0,48
"227",227,2.30268199233716,0.635145101397037,"No",24,0,48
"228",228,2.20790629575403,0.581328877601924,"No",27,0,50
"229",229,2.41867954911433,0.784058215858542,"No",23,0,50
"230",230,2.37577639751553,0.88802479877353,"No",23,0,50
"231",231,2.39139784946237,0.708272533323778,"No",31,0,50
"232",232,2.37857142857143,0.843519818154089,"No",27,0,48
"233",233,2.58974358974359,0.891729586931401,"No",27,0,50
"234",234,2.39473684210526,0.734891338551329,"No",30,0,50
"235",235,2.36622073578595,0.762168354833986,"No",28,0,50
"236",236,2.421875,0.867263938562209,"No",21,0,50
"237",237,2.31209150326797,0.625940239242382,"No",21,0,50
"238",238,2.19491525423729,0.625687731315196,"No",20,0,50
"239",239,2.28460038986355,0.710480063110833,"No",26,0,49
"240",240,2.30837789661319,0.764912020951614,"No",22,0,50
"241",241,2.46759259259259,0.8883777660139,"No",28,0,50
"242",242,2.40290620871863,0.811714501328977,"No",31,0,48
"243",243,2.32547699214366,0.762617957189147,"No",29,0,50
"244",244,2.27482269503546,0.698135657713495,"No",26,0,50
"245",245,2.3044925124792,0.731753453717287,"No",31,0,50
"246",246,2.32951289398281,0.780144593874392,"No",26,0,50
"247",247,2.38860103626943,0.871377764047984,"No",22,0,48
"248",248,2.54438860971524,1.03631518572553,"No",21,0,50
"249",249,2.35123966942149,0.729131636852118,"No",23,0,50
"250",250,2.41509433962264,0.819919800722631,"No",32,0,50
"251",251,2.36945812807882,0.727595084650573,"No",24,0,50
"252",252,2.41538461538462,0.917091733599703,"No",21,0,48
"253",253,2.25192012288786,0.561159650732152,"No",20,0,50
"254",254,2.472647702407,0.881733948741812,"No",29,0,50
"255",255,2.31925465838509,0.707943163945316,"No",22,0,50
"256",256,2.30728241563055,0.658695116422177,"No",23,0,50
"257",257,2.3978102189781,0.845763041854324,"No",23,0,50
"258",258,2.31172839506173,0.738676355142683,"No",26,0,50
"259",259,2.34428571428571,0.780692571419041,"No",19,0,49
"260",260,2.35844155844156,0.733383754661727,"No",20,0,50
"261",261,2.2921875,0.750962801414279,"No",23,0,50
"262",262,2.39310344827586,0.864151139183714,"No",24,0,50
"263",263,2.26315789473684,0.586329713775634,"No",28,0,50
"264",264,2.53589315525876,0.973716715860272,"No",25,0,50
"265",265,2.51492537313433,0.923099813372562,"No",24,0,50
"266",266,2.50071736011478,0.816716197172589,"No",30,0,50
"267",267,2.25816485225505,0.63287977839626,"No",23,0,50
"268",268,2.40497076023392,0.830268438496669,"No",20,0,50
"269",269,2.32014388489209,0.78156044936818,"No",20,0,50
"270",270,2.40091463414634,0.828462616661345,"No",34,0,49
"271",271,2.2596599690881,0.617566788848917,"No",23,0,50
"272",272,2.35336538461538,0.809176147208929,"No",28,0,50
"273",273,2.35321100917431,0.776184819642258,"No",33,0,50
"274",274,2.30530973451327,0.716755455162222,"No",24,0,50
"275",275,2.44329896907217,0.758185571496017,"No",28,0,50
"276",276,2.46362339514979,0.793115373138756,"No",23,0,50
"277",277,2.29042386185243,0.710734832724966,"No",25,0,50
"278",278,2.47140649149923,0.870234497499904,"No",23,0,50
"279",279,2.27760252365931,0.67351375881355,"No",26,0,50
"280",280,2.36514522821577,0.810192913340702,"No",21,0,48
"281",281,2.43295019157088,1.03132627719299,"No",21,0,48
"282",282,2.49324324324324,0.853858232968693,"No",21,0,49
"283",283,2.34527220630372,0.799739374943315,"No",30,0,50
"284",284,2.40364188163885,0.842119972360308,"No",20,0,49
"285",285,2.27580071174377,0.665217975453011,"No",27,0,49
"286",286,2.38051470588235,0.836806892362642,"No",27,0,49
"287",287,2.42084168336673,0.906938057170471,"No",22,0,50
"288",288,2.3551912568306,0.796591398202266,"No",22,0,50
"289",289,2.35146443514644,0.714407754035936,"Yes",24,12,50
"290",290,2.37954939341421,0.747540739834496,"No",21,0,50
"291",291,2.3974358974359,0.845794386144569,"No",18,0,50
"292",292,2.34703947368421,0.723544577938797,"No",32,0,50
"293",293,2.43654114365411,0.807059133016115,"No",23,0,50
"294",294,2.45213849287169,0.834981674713351,"No",28,0,50
"295",295,2.38905775075988,0.784555265546222,"No",29,0,50
"296",296,2.3125,0.662759693902409,"No",23,0,50
"297",297,2.55204460966543,0.799257978653968,"No",19,0,49
"298",298,2.45106382978723,0.914344106487103,"No",27,0,49
"299",299,2.41241379310345,0.830769027230233,"No",26,0,50
"300",300,2.4665676077266,0.892676695839214,"No",26,0,50
"301",301,2.5,0.91569170354334,"No",21,0,50
"302",302,2.27482269503546,0.718200932552684,"No",20,0,50
"303",303,2.42967741935484,0.87154072144715,"No",21,0,50
"304",304,2.35932721712538,0.852487670374285,"No",25,0,50
"305",305,2.38659793814433,0.77171987988375,"No",25,0,50
"306",306,2.36461126005362,0.749788101847248,"No",28,0,49
"307",307,2.37092391304348,0.679873709500202,"No",27,0,49
"308",308,2.4352,0.909023144327512,"No",25,0,50
"309",309,2.4131455399061,0.772701949807522,"No",23,0,50
"310",310,2.34375,0.681744051001782,"No",22,0,50
"311",311,2.37918215613383,0.786021060135469,"No",22,0,50
"312",312,2.32267441860465,0.68288100100094,"No",28,0,50
"313",313,2.33659730722154,0.778412585067058,"No",28,0,50
"314",314,2.45656192236599,0.774870604700482,"No",29,0,49
"315",315,2.3500837520938,0.766137895455519,"No",25,0,50
"316",316,2.3581847649919,0.766423180612711,"No",22,0,49
"317",317,2.5612582781457,1.06094035365376,"No",33,0,50
"318",318,2.43993231810491,0.871018882525793,"No",24,0,50
"319",319,2.2392776523702,0.57204200564199,"No",20,0,50
"320",320,2.38980891719745,0.805528150467687,"No",26,0,50
"321",321,2.46489859594384,0.809571856763592,"No",24,0,50
"322",322,2.54425612052731,0.77180257174371,"No",19,0,50
"323",323,2.39954853273138,0.859179748926287,"No",23,0,50
"324",324,2.3405017921147,0.759505484369092,"No",27,0,50
"325",325,2.31863442389758,0.722674962349236,"No",34,0,50
"326",326,2.43225806451613,0.742949807199516,"No",26,0,50
"327",327,2.48051948051948,0.867146598945174,"No",29,0,50
"328",328,2.47479674796748,0.859284746874344,"No",31,0,49
"329",329,2.47242647058824,0.740298079752673,"No",28,0,50
"330",330,2.41584158415842,0.713633208172804,"No",25,0,50
"331",331,2.25390625,0.645611692077492,"No",22,0,50
"332",332,2.21822541966427,0.530650650169548,"No",22,0,48
"333",333,2.22587719298246,0.662553583357117,"No",23,0,50
"334",334,2.36057692307692,0.670246106434433,"No",30,0,48
"335",335,2.34237995824635,0.770602229916511,"No",22,0,50
"336",336,2.36166365280289,0.734338000997563,"No",21,0,50
"337",337,2.26682134570766,0.647563492879843,"No",23,0,50
"338",338,2.43016759776536,0.816836915476676,"No",25,0,49
"339",339,2.46934460887949,0.997672606055953,"No",25,0,50
"340",340,2.29490022172949,0.645976041024533,"No",24,0,50
"341",341,2.40376266280753,0.873399336821614,"No",24,0,50
"342",342,2.46615384615385,0.817523209563317,"No",26,0,50
"343",343,2.34,0.637932681124451,"No",28,0,50
"344",344,2.35147058823529,0.807730077666941,"No",21,0,50
"345",345,2.49329359165425,0.963296440139658,"No",28,0,50
"346",346,2.48184818481848,0.875091806312937,"No",27,0,50
"347",347,2.35361842105263,0.738416355537095,"No",21,0,50
"348",348,2.50099800399202,0.74999933466371,"No",28,0,50
"349",349,2.43380855397149,0.922063765562564,"No",19,0,50
"350",350,2.5218023255814,0.814419686160426,"No",30,0,50
"351",351,2.45662100456621,0.971400248627591,"No",33,0,50
"352",352,2.32142857142857,0.682364543700374,"No",24,0,50
"353",353,2.57647058823529,1.01774705654361,"No",22,0,49
"354",354,2.36969696969697,0.796431126693136,"No",19,0,50
"355",355,2.49228611500701,1.00992794661256,"No",22,0,50
"356",356,2.57342657342657,0.920860354184621,"No",29,0,49
"357",357,2.50892857142857,0.929222674004626,"No",26,0,49
"358",358,2.38525963149079,0.832831231601419,"No",23,0,50
"359",359,2.65749235474006,1.0524370372613,"No",28,0,49
"360",360,2.49434571890145,0.931931051882613,"No",20,0,50
"361",361,2.41133720930233,0.839865146317662,"No",25,0,50
"362",362,2.50766283524904,0.915288516503613,"No",32,0,50
"363",363,2.38007863695937,0.801718295150636,"No",32,0,50
"364",364,2.39592430858806,0.652767809794908,"No",24,0,50
"365",365,2.4637436762226,0.945714452717643,"No",23,0,50
"366",366,2.2704309063893,0.726600834280217,"No",27,0,50
"367",367,2.55009107468124,0.966474985087434,"No",27,0,49
"368",368,2.40036563071298,0.850899036371907,"No",19,0,49
"369",369,2.43177570093458,0.888186947925171,"No",28,0,48
"370",370,2.38241308793456,0.843840693433262,"No",20,0,50
"371",371,2.53218884120172,0.987040489057377,"No",27,0,50
"372",372,2.48996655518395,0.905445834759645,"No",30,0,50
"373",373,2.39903846153846,0.829805631740923,"No",23,0,50
"374",374,2.38302752293578,0.716046623521708,"No",24,0,47
"375",375,2.52523364485981,0.894646317447757,"No",25,0,50
"376",376,2.50946372239748,0.927415694243893,"No",21,0,50
"377",377,2.45348837209302,0.938364841841204,"No",23,0,50
"378",378,2.44189189189189,0.837630971603312,"No",25,0,50
"379",379,2.46621621621622,0.844334482285818,"No",25,0,50
"380",380,2.42424242424242,0.848658209952777,"No",28,0,49
"381",381,2.34056987788331,0.763925930291583,"No",28,0,49
"382",382,2.3648,0.723711941561679,"No",24,0,49
"383",383,2.35830618892508,0.735016327943376,"No",27,0,47
"384",384,2.42073170731707,0.834476721269603,"No",20,0,50
"385",385,2.3728,0.820547034543076,"No",26,0,48
"386",386,2.45291479820628,0.885484082349907,"No",32,0,49
"387",387,2.39084967320261,0.81873989159854,"No",22,0,50
"388",388,2.62674961119751,0.954102395517916,"No",27,0,49
"389",389,2.41210710128056,0.855609548492569,"No",27,0,50
"390",390,2.35543278084715,0.909565276009346,"No",29,0,49
"391",391,2.42613636363636,0.843683212333781,"No",22,0,50
"392",392,2.583984375,1.02262915813051,"No",27,0,48
"393",393,2.35935198821797,0.695877149495508,"No",29,0,50
"394",394,2.21884984025559,0.561451792245759,"No",30,0,49
"395",395,2.44181818181818,0.82717746185621,"No",20,0,50
"396",396,2.46013289036545,0.938671122644742,"No",22,0,50
"397",397,2.58365758754864,1.12295100278237,"No",21,0,49
"398",398,2.39597315436242,0.863968255932912,"No",19,0,50
"399",399,2.49853372434018,0.899092815526564,"No",30,0,50
"400",400,2.34652278177458,0.732420968754147,"No",23,0,50
"401",401,2.36546762589928,0.713366842650037,"No",25,0,50
"402",402,2.2906309751434,0.645977965678513,"No",23,0,50
"403",403,2.33033033033033,0.739159578980742,"No",29,0,50
"404",404,2.32038834951456,0.931687754130863,"No",29,0,50
"405",405,2.5139116202946,1.05320101550533,"No",21,0,50
"406",406,2.40253565768621,0.85612262041534,"No",21,0,49
"407",407,2.37586685159501,0.719895906072685,"No",23,0,50
"408",408,2.43740340030912,0.868448349159982,"No",26,0,50
"409",409,2.29376854599407,0.706406501568263,"No",25,0,50
"410",410,2.44306049822064,0.921788094114416,"No",22,0,50
"411",411,2.45522388059702,0.94240470680961,"No",28,0,50
"412",412,2.50894085281981,0.901247898601548,"No",28,0,50
"413",413,2.26343381389253,0.902060781081786,"No",25,0,50
"414",414,2.53300124533001,1.07793296871181,"No",28,0,50
"415",415,2.39095744680851,0.790302838210109,"No",27,0,50
"416",416,2.24703891708968,0.653455376434663,"No",21,0,50
"417",417,2.44488711819389,0.867531052394329,"No",25,0,50
"418",418,2.31194295900178,0.737285056055914,"No",21,0,50
"419",419,2.3696682464455,0.833911052169229,"No",22,0,50
"420",420,2.39197930142303,0.91492395538132,"No",25,0,50
"421",421,2.47863247863248,0.791633158849418,"No",20,0,50
"422",422,2.36740740740741,0.700659887101524,"No",24,0,50
"423",423,2.47235023041475,0.917808184402573,"No",26,0,47
"424",424,2.37094017094017,0.80718730205104,"No",18,0,50
"425",425,2.28166666666667,0.594069653725907,"No",24,0,48
"426",426,2.34878587196468,0.788315994194341,"No",22,0,49
"427",427,2.37388193202147,0.804176682435275,"No",27,0,50
"428",428,2.40361445783133,1.04993388119495,"Yes",28,2,50
"429",429,2.35918367346939,0.765813084176876,"No",25,0,50
"430",430,2.35668789808917,0.790798267099296,"No",21,0,50
"431",431,2.39779005524862,0.821839072675992,"No",19,0,50
"432",432,2.29065300896287,0.693395368556183,"No",28,0,49
"433",433,2.36178861788618,0.888951052788006,"No",23,0,50
"434",434,2.35883905013193,0.721802179419095,"No",23,0,50
"435",435,2.37417654808959,0.768555733840561,"No",24,0,48
"436",436,2.29939209726444,0.629101164558989,"No",24,0,50
"437",437,2.3597972972973,0.686297079511723,"No",24,0,50
"438",438,2.24550128534704,0.682667617933444,"No",22,0,50
"439",439,2.35655058043118,0.771525676251355,"No",27,0,50
"440",440,2.31496062992126,0.667070340131853,"No",23,0,50
"441",441,2.33014354066986,0.805988257988241,"No",30,0,50
"442",442,2.34117647058824,0.722912472598911,"No",24,0,50
"443",443,2.35267175572519,0.716273084899964,"No",24,0,50
"444",444,2.3508064516129,0.811624425113917,"No",21,0,50
"445",445,2.34510433386838,0.804731354804586,"No",27,0,50
"446",446,2.39330543933054,0.899637217129297,"No",20,0,49
"447",447,2.25636942675159,0.643609887950468,"No",23,0,50
"448",448,2.46573208722741,0.941126640791666,"No",26,0,49
"449",449,2.45669291338583,0.817358072957744,"No",22,0,49
"450",450,2.46327683615819,0.870950357427984,"No",21,0,49
"451",451,2.40896739130435,0.737619645747298,"No",28,0,48
"452",452,2.36867862969005,0.858139260079401,"No",21,0,50
"453",453,2.62818955042527,1.08866422003218,"No",26,0,50
"454",454,2.35515873015873,0.76377552740683,"No",18,0,47
"455",455,2.45861601085482,0.841346446382898,"Yes",26,1,50
"456",456,2.43622047244095,0.912727158652427,"No",23,0,50
"457",457,2.32333333333333,0.709197073954105,"No",27,0,50
"458",458,2.37704918032787,0.688155811262446,"No",23,0,48
"459",459,2.44222222222222,0.906543618009429,"No",22,0,49
"460",460,2.45028142589118,0.851725865948535,"No",23,0,50
"461",461,2.39794168096055,0.861228174818751,"No",18,0,50
"462",462,2.5589519650655,0.917407334724276,"No",23,0,50
"463",463,2.46774193548387,0.761411515031195,"No",25,0,50
